imu_timestamp, mcu_timestamp
50,10513982
2950,10517384
7750,10521882
12550,10526513
17350,10531042
22150,10535571
26950,10540100
31750,10544628
36550,10549156
41350,10553685
46150,10558212
50950,10562740
55750,10567268
60550,10571795
65350,10576323
70150,10580851
74950,10585378
79750,10589906
84550,10594433
89350,10598961
94150,10603489
98950,10608016
103750,10612544
108550,10617071
113350,10621599
118150,10626126
122950,10630654
127750,10635182
132550,10639709
137350,10644237
142150,10648764
146950,10653292
151750,10657820
156550,10662347
161350,10666875
166150,10671402
170950,10675930
175750,10680458
180550,10684985
185350,10689513
190150,10694040
194950,10698568
199750,10703096
204550,10707623
209350,10712151
214150,10716678
218950,10721206
223750,10725733
228550,10730261
233350,10734789
238150,10739316
242950,10743844
247750,10748371
252550,10752899
257350,10757427
262150,10761954
266950,10766482
271750,10771009
276550,10775537
281350,10780065
286150,10784592
290950,10789120
295750,10793647
300550,10798175
305350,10802703
310150,10807230
314950,10811758
319750,10816285
324550,10820813
329350,10825341
334150,10829868
338950,10834396
343750,10838923
348550,10843451
353350,10847978
358150,10852506
362950,10857034
367750,10861561
372550,10866089
377350,10870616
382150,10875144
386950,10879672
391750,10884199
396550,10888727
401350,10893254
406150,10897782
410950,10902310
415750,10906837
420550,10911365
425350,10915892
430150,10920420
434950,10924948
439750,10929475
444550,10934003
449350,10938530
454150,10943058
458950,10947585
463750,10952113
468550,10956641
473350,10961168
478150,10965696
482950,10970223
487750,10974751
492550,10979279
497350,10983806
502150,10988334
506950,10992861
511750,10997389
516550,11001917
521350,11006444
526150,11010972
530950,11015499
535750,11020027
540550,11024555
545350,11029082
550150,11033610
554950,11038137
559750,11042665
564550,11047192
569350,11051720
574150,11056248
578950,11060775
583750,11065303
588550,11069830
593350,11074358
598150,11078886
602950,11083413
607750,11087941
612550,11092468
617350,11096996
622150,11101524
626950,11106051
631750,11110579
636550,11115106
641350,11119634
646150,11124162
650950,11128689
655750,11133217
660550,11137744
665350,11142272
670150,11146799
674950,11151327
679750,11155855
684550,11160382
689350,11164910
694150,11169437
698950,11173965
703750,11178493
708550,11183020
713350,11187548
718150,11192075
722950,11196603
727750,11201131
732550,11205658
737350,11210186
742150,11214713
746950,11219241
751750,11223769
756550,11228296
761350,11232824
766150,11237351
770950,11241879
775750,11246406
780550,11250934
785350,11255462
790150,11259989
794950,11264517
799750,11269044
804550,11273572
809350,11278100
814150,11282627
818950,11287155
823750,11291682
828550,11296210
833350,11300738
838150,11305265
842950,11309793
847750,11314320
852550,11318848
857350,11323375
862150,11327903
866950,11332431
871750,11336958
876550,11341486
881350,11346013
886150,11350541
890950,11355069
895750,11359596
900550,11364124
905350,11368651
910150,11373179
914950,11377707
919750,11382234
924550,11386762
929350,11391289
934150,11395817
938950,11400345
943750,11404872
948550,11409400
953350,11413927
958150,11418455
962950,11422982
967750,11427510
972550,11432038
977350,11436565
982150,11441093
986950,11445620
991750,11450148
996550,11454676
1001350,11459203
1006150,11463731
1010950,11468258
1015750,11472786
1020550,11477314
1025350,11481841
1030150,11486369
1034950,11490896
1039750,11495424
1044550,11499952
1049350,11504479
1054150,11509007
1058950,11513534
1063750,11518062
1068550,11522589
1073350,11527117
1078150,11531645
1082950,11536172
1087750,11540700
1092550,11545227
1097350,11549755
1102150,11554283
1106950,11558810
1111750,11563338
1116550,11567865
1121350,11572393
1126150,11576921
1130950,11581448
1135750,11585976
1140550,11590503
1145350,11595031
1150150,11599558
1154950,11604086
1159750,11608614
1164550,11613141
1169350,11617669
1174150,11622196
