imu_timestamp, mcu_timestamp
4,12252972
118,12256381
310,12260880
502,12265471
694,12269999
886,12274528
1078,12279057
1270,12283585
1462,12288114
1654,12292642
1846,12297170
2038,12301697
2230,12306225
2422,12310753
2614,12315280
2806,12319808
2998,12324335
3190,12328863
3382,12333391
3574,12337918
3766,12342446
3958,12346973
4150,12351501
4342,12356028
4534,12360556
4726,12365084
4918,12369611
5110,12374139
5302,12378666
5494,12383194
5686,12387721
5878,12392249
6070,12396777
6262,12401304
6454,12405832
6646,12410359
6838,12414887
7030,12419415
7222,12423942
7414,12428470
7606,12432997
7798,12437525
7990,12442052
8182,12446580
8374,12451108
8566,12455635
8758,12460163
8950,12464690
9142,12469218
9334,12473746
9526,12478273
9718,12482801
9910,12487328
10102,12491856
10294,12496383
10486,12500911
10678,12505439
10870,12509966
11062,12514494
11254,12519021
11446,12523549
11638,12528076
11830,12532604
12022,12537132
12214,12541659
12406,12546187
12598,12550714
12790,12555242
12982,12559770
13174,12564297
13366,12568825
13558,12573352
13750,12577880
13942,12582407
14134,12586935
14326,12591463
14518,12595990
14710,12600518
14902,12605045
15094,12609573
15286,12614100
15478,12618628
15670,12623156
15862,12627683
16054,12632211
16246,12636738
16438,12641266
16630,12645794
16822,12650321
17014,12654849
17206,12659376
17398,12663904
17590,12668431
17782,12672959
17974,12677487
18166,12682014
18358,12686542
18550,12691069
18742,12695597
18934,12700124
19126,12704652
19318,12709180
19510,12713707
19702,12718235
19894,12722762
20086,12727290
20278,12731817
20470,12736345
20662,12740873
20854,12745400
21046,12749928
21238,12754455
21430,12758983
21622,12763511
21814,12768038
22006,12772566
22198,12777093
22390,12781621
22582,12786148
22774,12790676
22966,12795204
23158,12799731
23350,12804259
23542,12808786
23734,12813314
23926,12817841
24118,12822369
24310,12826897
24502,12831424
24694,12835952
24886,12840479
25078,12845007
25270,12849534
25462,12854062
25654,12858590
25846,12863117
26038,12867645
26230,12872172
26422,12876700
26614,12881227
26806,12885755
26998,12890283
27190,12894810
27382,12899338
27574,12903865
27766,12908393
27958,12912921
28150,12917448
28342,12921976
28534,12926503
28726,12931031
28918,12935558
29110,12940086
29302,12944614
29494,12949141
29686,12953669
29878,12958196
30070,12962724
30262,12967251
30454,12971779
30646,12976307
30838,12980834
31030,12985362
31222,12989889
31414,12994417
31606,12998944
31798,13003472
31990,13008000
32182,13012527
32374,13017055
32566,13021582
32758,13026110
32950,13030637
33142,13035165
33334,13039693
33526,13044220
33718,13048748
33910,13053275
34102,13057803
34294,13062330
34486,13066858
34678,13071386
34870,13075913
35062,13080441
35254,13084968
35446,13089496
35638,13094024
35830,13098551
36022,13103079
36214,13107606
36406,13112134
36598,13116661
36790,13121189
36982,13125717
37174,13130244
37366,13134772
37558,13139299
37750,13143827
37942,13148354
38134,13152882
38326,13157410
38518,13161937
38710,13166465
38902,13170992
39094,13175520
39286,13180047
39478,13184575
39670,13189103
39862,13193630
40054,13198158
40246,13202685
40438,13207213
40630,13211740
40822,13216268
41014,13220796
41206,13225323
41398,13229851
41590,13234378
41782,13238906
41974,13243433
42166,13247961
42358,13252489
42550,13257016
42742,13261544
42934,13266071
43126,13270599
43318,13275126
43510,13279654
43702,13284182
43894,13288709
44086,13293237
44278,13297764
44470,13302292
44662,13306819
44854,13311347
45046,13315875
45238,13320402
45430,13324930
45622,13329457
45814,13333985
46006,13338512
46198,13343040
46390,13347568
46582,13352095
46774,13356623
46966,13361150
47158,13365678
47350,13370205
47542,13374733
47734,13379261
47926,13383788
48118,13388316
48310,13392843
48502,13397371
48694,13401898
48886,13406426
49078,13410954
49270,13415481
49462,13420009
49654,13424536
49846,13429064
50038,13433591
50230,13438119
50422,13442647
50614,13447174
50806,13451702
50998,13456229
51190,13460757
51382,13465284
51574,13469812
51766,13474340
51958,13478867
52150,13483395
52342,13487922
52534,13492450
52726,13496977
52918,13501505
53110,13506033
53302,13510560
53494,13515088
53686,13519615
53878,13524143
54070,13528670
54262,13533198
54454,13537726
54646,13542253
54838,13546781
55030,13551308
55222,13555836
55414,13560363
55606,13564891
55798,13569419
55990,13573946
56182,13578474
56374,13583001
56566,13587529
56758,13592056
56950,13596584
57142,13601112
57334,13605639
57526,13610167
57718,13614694
57910,13619222
58102,13623749
58294,13628277
58486,13632805
58678,13637332
58870,13641860
59062,13646387
59254,13650915
59446,13655442
59638,13659970
59830,13664498
60022,13669025
60214,13673553
60406,13678080
60598,13682608
60790,13687135
60982,13691663
61174,13696191
61366,13700718
61558,13705246
61750,13709773
61942,13714301
62134,13718828
62326,13723356
62518,13727884
62710,13732411
62902,13736939
63094,13741466
63286,13745994
63478,13750521
63670,13755049
63862,13759577
64054,13764104
64246,13768632
64438,13773159
64630,13777687
64822,13782214
65014,13786742
65206,13791270
65398,13795797
65590,13800325
65782,13804852
65974,13809380
66166,13813907
66358,13818435
66550,13822963
66742,13827490
66934,13832018
67126,13836545
67318,13841073
67510,13845600
67702,13850128
67894,13854656
68086,13859183
68278,13863711
68470,13868238
68662,13872766
68854,13877293
69046,13881821
69238,13886349
69430,13890876
69622,13895404
69814,13899931
70006,13904459
70198,13908986
