imu_timestamp, mcu_timestamp
4,42775972
118,42779381
310,42783881
502,42788488
694,42793017
886,42797546
1078,42802075
1270,42806604
1462,42811133
1654,42815661
1846,42820189
2038,42824717
2230,42829245
2422,42833773
2614,42838300
2806,42842828
2998,42847356
3190,42851883
3382,42856411
3574,42860939
3766,42865466
3958,42869994
4150,42874522
4342,42879049
4534,42883577
4726,42888104
4918,42892632
5110,42897160
5302,42901687
5494,42906215
5686,42910743
5878,42915270
6070,42919798
6262,42924326
6454,42928853
6646,42933381
6838,42937909
7030,42942436
7222,42946964
7414,42951492
7606,42956019
7798,42960547
7990,42965075
8182,42969602
8374,42974130
8566,42978658
8758,42983185
8950,42987713
9142,42992241
9334,42996768
9526,43001296
9718,43005823
9910,43010351
10102,43014879
10294,43019406
10486,43023934
10678,43028462
10870,43032989
11062,43037517
11254,43042045
11446,43046572
11638,43051100
11830,43055628
12022,43060155
12214,43064683
12406,43069211
12598,43073738
12790,43078266
12982,43082794
13174,43087321
13366,43091849
13558,43096377
13750,43100904
13942,43105432
14134,43109959
14326,43114487
14518,43119015
14710,43123542
14902,43128070
15094,43132598
15286,43137125
15478,43141653
15670,43146181
15862,43150708
16054,43155236
16246,43159764
16438,43164291
16630,43168819
16822,43173347
17014,43177874
17206,43182402
17398,43186930
17590,43191457
17782,43195985
17974,43200513
18166,43205040
18358,43209568
18550,43214095
18742,43218623
18934,43223151
19126,43227678
19318,43232206
19510,43236734
19702,43241261
19894,43245789
20086,43250317
20278,43254844
20470,43259372
20662,43263900
20854,43268427
21046,43272955
21238,43277483
21430,43282010
21622,43286538
21814,43291066
22006,43295593
22198,43300121
22390,43304648
22582,43309176
22774,43313704
22966,43318231
23158,43322759
23350,43327287
23542,43331814
23734,43336342
23926,43340870
24118,43345397
24310,43349925
24502,43354453
24694,43358980
24886,43363508
25078,43368036
25270,43372563
25462,43377091
25654,43381619
25846,43386146
26038,43390674
26230,43395201
26422,43399729
26614,43404257
26806,43408784
26998,43413312
27190,43417840
27382,43422367
27574,43426895
27766,43431423
27958,43435950
28150,43440478
28342,43445006
28534,43449533
28726,43454061
28918,43458589
29110,43463116
29302,43467644
29494,43472172
29686,43476699
29878,43481227
30070,43485754
30262,43490282
30454,43494810
30646,43499337
30838,43503865
31030,43508393
31222,43512920
31414,43517448
31606,43521976
31798,43526503
31990,43531031
32182,43535559
32374,43540086
32566,43544614
32758,43549142
32950,43553669
33142,43558197
33334,43562724
33526,43567252
33718,43571780
33910,43576307
34102,43580835
34294,43585363
34486,43589890
34678,43594418
34870,43598946
35062,43603473
35254,43608001
35446,43612529
35638,43617056
35830,43621584
36022,43626112
36214,43630639
36406,43635167
36598,43639694
36790,43644222
36982,43648750
37174,43653277
37366,43657805
37558,43662333
37750,43666860
37942,43671388
38134,43675916
38326,43680443
38518,43684971
38710,43689499
38902,43694026
39094,43698554
39286,43703082
39478,43707609
39670,43712137
39862,43716664
40054,43721192
40246,43725720
40438,43730247
40630,43734775
40822,43739303
41014,43743830
41206,43748358
41398,43752886
41590,43757413
41782,43761941
41974,43766469
42166,43770996
42358,43775524
42550,43780052
42742,43784579
42934,43789107
43126,43793634
43318,43798162
43510,43802690
43702,43807217
43894,43811745
44086,43816273
44278,43820800
44470,43825328
44662,43829856
44854,43834383
45046,43838911
45238,43843439
45430,43847966
45622,43852494
45814,43857022
46006,43861549
46198,43866077
46390,43870604
46582,43875132
46774,43879660
46966,43884187
47158,43888715
47350,43893243
47542,43897770
47734,43902298
47926,43906826
48118,43911353
48310,43915881
48502,43920409
48694,43924936
48886,43929464
49078,43933992
49270,43938519
49462,43943047
49654,43947574
49846,43952102
50038,43956630
50230,43961157
50422,43965685
50614,43970213
50806,43974740
50998,43979268
51190,43983796
51382,43988323
51574,43992851
51766,43997379
51958,44001906
52150,44006434
52342,44010962
52534,44015489
52726,44020017
52918,44024544
53110,44029072
53302,44033600
53494,44038127
53686,44042655
53878,44047183
54070,44051710
54262,44056238
54454,44060766
54646,44065293
54838,44069821
55030,44074349
55222,44078876
55414,44083404
55606,44087931
55798,44092459
55990,44096987
56182,44101514
56374,44106042
56566,44110570
56758,44115097
56950,44119625
57142,44124153
57334,44128680
57526,44133208
57718,44137736
57910,44142263
58102,44146791
58294,44151318
58486,44155846
58678,44160374
58870,44164901
59062,44169429
59254,44173957
59446,44178484
59638,44183012
59830,44187540
60022,44192067
60214,44196595
60406,44201123
60598,44205650
60790,44210178
60982,44214706
61174,44219233
61366,44223761
61558,44228288
61750,44232816
61942,44237344
62134,44241871
62326,44246399
62518,44250927
62710,44255454
62902,44259982
63094,44264510
63286,44269037
63478,44273565
63670,44278093
63862,44282620
64054,44287148
64246,44291675
64438,44296203
64630,44300731
64822,44305258
65014,44309786
65206,44314314
65398,44318841
65590,44323369
65782,44327897
65974,44332424
66166,44336952
66358,44341480
66550,44346007
66742,44350535
66934,44355063
67126,44359590
67318,44364118
67510,44368645
67702,44373173
67894,44377701
68086,44382228
68278,44386756
68470,44391284
68662,44395811
68854,44400339
69046,44404867
69238,44409394
69430,44413922
69622,44418450
69814,44422977
70006,44427505
70198,44432032
70390,44436560
70582,44441088
70774,44445615
70966,44450143
71158,44454671
71350,44459198
71542,44463726
71734,44468254
71926,44472781
72118,44477309
72310,44481837
72502,44486364
72694,44490892
72886,44495419
73078,44499947
73270,44504475
73462,44509002
73654,44513530
73846,44518058
74038,44522585
74230,44527113
74422,44531641
74614,44536168
74806,44540696
74998,44545224
75190,44549751
75382,44554279
75574,44558806
75766,44563334
75958,44567862
76150,44572389
76342,44576917
76534,44581445
76726,44585972
76918,44590500
77110,44595028
77302,44599555
77494,44604083
77686,44608611
77878,44613138
78070,44617666
78262,44622193
78454,44626721
78646,44631249
78838,44635776
79030,44640304
79222,44644832
79414,44649359
79606,44653887
79798,44658415
79990,44662942
80182,44667470
80374,44671998
80566,44676525
80758,44681053
80950,44685580
81142,44690108
81334,44694636
81526,44699163
81718,44703691
81910,44708219
82102,44712746
82294,44717274
82486,44721802
82678,44726329
82870,44730857
83062,44735385
83254,44739912
83446,44744440
83638,44748968
83830,44753495
84022,44758023
84214,44762550
84406,44767078
84598,44771606
84790,44776133
84982,44780661
85174,44785189
85366,44789716
85558,44794244
85750,44798772
85942,44803299
86134,44807827
86326,44812355
86518,44816882
86710,44821410
86902,44825937
87094,44830465
87286,44834993
87478,44839520
87670,44844048
87862,44848576
88054,44853103
88246,44857631
88438,44862159
88630,44866686
88822,44871214
89014,44875742
89206,44880269
89398,44884797
89590,44889324
89782,44893852
89974,44898380
90166,44902907
90358,44907435
90550,44911963
90742,44916490
90934,44921018
91126,44925546
91318,44930073
91510,44934601
91702,44939129
91894,44943656
92086,44948184
92278,44952711
92470,44957239
92662,44961767
92854,44966294
93046,44970822
93238,44975350
93430,44979877
93622,44984405
93814,44988933
94006,44993460
94198,44997988
94390,45002516
94582,45007043
94774,45011571
94966,45016098
95158,45020626
95350,45025154
95542,45029681
95734,45034209
95926,45038737
96118,45043264
96310,45047792
96502,45052320
96694,45056847
96886,45061375
97078,45065903
97270,45070430
97462,45074958
97654,45079485
97846,45084013
98038,45088541
98230,45093068
98422,45097596
98614,45102124
98806,45106651
98998,45111179
99190,45115707
99382,45120234
99574,45124762
99766,45129290
99958,45133817
100150,45138345
100342,45142872
100534,45147400
100726,45151928
100918,45156455
101110,45160983
101302,45165511
101494,45170038
101686,45174566
101878,45179094
102070,45183621
102262,45188149
102454,45192677
102646,45197204
102838,45201732
103030,45206259
103222,45210787
103414,45215315
103606,45219842
103798,45224370
103990,45228898
104182,45233425
104374,45237953
104566,45242481
104758,45247008
104950,45251536
105142,45256064
105334,45260591
105526,45265119
105718,45269646
105910,45274174
106102,45278702
106294,45283229
106486,45287757
106678,45292285
106870,45296812
107062,45301340
107254,45305868
107446,45310395
107638,45314923
107830,45319451
108022,45323978
108214,45328506
108406,45333034
108598,45337561
108790,45342089
108982,45346616
109174,45351144
109366,45355672
109558,45360199
109750,45364727
109942,45369255
110134,45373782
110326,45378310
110518,45382838
110710,45387365
110902,45391893
111094,45396421
111286,45400948
111478,45405476
111670,45410003
111862,45414531
112054,45419059
112246,45423586
112438,45428114
112630,45432642
112822,45437169
113014,45441697
113206,45446225
113398,45450752
113590,45455280
113782,45459808
113974,45464335
114166,45468863
114358,45473390
114550,45477918
114742,45482446
114934,45486973
115126,45491501
115318,45496029
115510,45500556
115702,45505084
115894,45509612
116086,45514139
116278,45518667
116470,45523195
116662,45527722
116854,45532250
117046,45536778
117238,45541305
117430,45545833
117622,45550360
117814,45554888
118006,45559416
118198,45563943
118390,45568471
118582,45572999
118774,45577526
118966,45582054
119158,45586582
119350,45591109
119542,45595637
119734,45600165
119926,45604692
120118,45609220
120310,45613747
120502,45618275
120694,45622803
120886,45627330
121078,45631858
121270,45636386
121462,45640913
121654,45645441
121846,45649969
122038,45654496
122230,45659024
122422,45663552
122614,45668079
122806,45672607
122998,45677135
123190,45681662
123382,45686190
123574,45690717
123766,45695245
123958,45699773
124150,45704300
124342,45708828
124534,45713356
124726,45717883
124918,45722411
125110,45726939
125302,45731466
125494,45735994
125686,45740522
125878,45745049
126070,45749577
126262,45754105
126454,45758632
126646,45763160
126838,45767687
127030,45772215
127222,45776743
127414,45781270
127606,45785798
127798,45790326
127990,45794853
128182,45799381
128374,45803909
128566,45808436
128758,45812964
128950,45817492
129142,45822019
129334,45826547
129526,45831074
129718,45835602
129910,45840130
130102,45844657
130294,45849185
130486,45853713
130678,45858240
130870,45862768
131062,45867296
131254,45871823
131446,45876351
131638,45880879
131830,45885406
132022,45889934
132214,45894462
132406,45898989
132598,45903517
132790,45908044
132982,45912572
133174,45917100
133366,45921627
133558,45926155
133750,45930683
133942,45935210
134134,45939738
134326,45944266
134518,45948793
134710,45953321
134902,45957849
135094,45962376
135286,45966904
135478,45971432
135670,45975959
135862,45980487
136054,45985014
136246,45989542
136438,45994070
136630,45998597
136822,46003125
137014,46007653
137206,46012180
137398,46016708
137590,46021236
137782,46025763
137974,46030291
138166,46034819
138358,46039346
138550,46043874
138742,46048402
138934,46052929
139126,46057457
139318,46061984
139510,46066512
139702,46071040
139894,46075567
140086,46080095
140278,46084623
140470,46089150
140662,46093678
140854,46098206
141046,46102733
141238,46107261
141430,46111789
141622,46116316
141814,46120844
142006,46125372
142198,46129899
142390,46134427
142582,46138954
142774,46143482
142966,46148010
143158,46152537
143350,46157065
143542,46161593
143734,46166120
143926,46170648
144118,46175176
144310,46179703
144502,46184231
144694,46188759
144886,46193286
145078,46197814
145270,46202341
145462,46206869
145654,46211397
145846,46215924
146038,46220452
146230,46224980
146422,46229507
146614,46234035
146806,46238563
146998,46243090
147190,46247618
147382,46252146
147574,46256673
147766,46261201
147958,46265729
148150,46270256
148342,46274784
148534,46279311
148726,46283839
148918,46288367
149110,46292894
149302,46297422
149494,46301950
149686,46306477
149878,46311005
150070,46315533
150262,46320060
150454,46324588
150646,46329116
150838,46333643
151030,46338171
151222,46342698
151414,46347226
151606,46351754
151798,46356281
151990,46360809
152182,46365337
152374,46369864
152566,46374392
152758,46378920
152950,46383447
153142,46387975
153334,46392503
153526,46397030
153718,46401558
153910,46406086
154102,46410613
154294,46415141
154486,46419668
154678,46424196
154870,46428724
155062,46433251
155254,46437779
155446,46442307
155638,46446834
155830,46451362
156022,46455890
156214,46460417
156406,46464945
156598,46469473
156790,46474000
156982,46478528
157174,46483055
157366,46487583
157558,46492111
157750,46496638
157942,46501166
158134,46505694
158326,46510221
158518,46514749
158710,46519277
158902,46523804
159094,46528332
159286,46532860
159478,46537387
159670,46541915
159862,46546442
160054,46550970
160246,46555498
160438,46560025
160630,46564553
160822,46569081
161014,46573608
161206,46578136
161398,46582664
161590,46587191
161782,46591719
161974,46596247
162166,46600774
